municipio_origem,uf_origem,municipio_destino,uf_destino,ano,mes,distancia_km,valor_frete_tonelada,valor_tonelada_km,data_padronizada
AÇAILÂNDIA-MA                                     ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2023,Fevereiro,597,"160,0","0,268",02/2023
AÇAILÂNDIA-MA                                     ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2023,Março,597,"170,0","0,2848",03/2023
AÇAILÂNDIA-MA                                     ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2023,Abril,597,"170,0","0,2848",04/2023
AÇAILÂNDIA-MA                                     ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2023,Maio,597,"160,0","0,268",05/2023
AÇAILÂNDIA-MA                                     ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2023,Junho,597,"150,59","0,2522",06/2023
AÇAILÂNDIA-MA                                     ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2023,Julho,565,"166,8","0,2952",07/2023
AÇAILÂNDIA-MA                                     ,MA        ,PORTO FRANCO-MA                                   ,MA        ,2023,Julho,167,"65,0","0,3892",07/2023
AÇAILÂNDIA-MA                                     ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2023,Agosto,565,"164,5","0,2912",08/2023
AÇAILÂNDIA-MA                                     ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2023,Setembro,565,"160,0","0,2832",09/2023
ACREÚNA-GO                                        ,GO        ,ITAPURANGA-GO                                     ,GO        ,2014,Maio,314,"57,32","0,1825",05/2014
ACREÚNA-GO                                        ,GO        ,BRASÍLIA-DF                                       ,DF        ,2014,Maio,403,"57,87","0,1436",05/2014
ACREÚNA-GO                                        ,GO        ,SANTA HELENA DE GOIÁS-GO                          ,GO        ,2014,Maio,66,"23,63","0,358",05/2014
ACREÚNA-GO                                        ,GO        ,PALMEIRAS DE GOIÁS-GO                             ,GO        ,2014,Maio,117,"29,26","0,2501",05/2014
ALPINÓPOLIS-MG                                    ,MG        ,GUARUJÁ-SP                                        ,SP        ,2024,Setembro,463,"146,0","0,3153",09/2024
ALPINÓPOLIS-MG                                    ,MG        ,GUARUJÁ-SP                                        ,SP        ,2024,Outubro,463,"146,0","0,3153",10/2024
ALPINÓPOLIS-MG                                    ,MG        ,GUARUJÁ-SP                                        ,SP        ,2024,Novembro,463,"146,0","0,3153",11/2024
ALTO PARNAÍBA-MA                                  ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2023,Março,1034,"290,0","0,2805",03/2023
ALTO PARNAÍBA-MA                                  ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2023,Abril,1034,"290,0","0,2805",04/2023
ALTO PARNAÍBA-MA                                  ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2023,Maio,1034,"82,0","0,0793",05/2023
ALTO PARNAÍBA-MA                                  ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2023,Junho,1034,"275,09","0,266",06/2023
ALTO PARNAÍBA-MA                                  ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2023,Julho,1050,"275,0","0,2619",07/2023
ALTO PARNAÍBA-MA                                  ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2023,Agosto,1050,"316,61","0,3015",08/2023
ALTO PARNAÍBA-MA                                  ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2023,Setembro,1050,"325,12","0,3096",09/2023
ALTO PARNAÍBA-MA                                  ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2023,Outubro,1050,"326,66","0,3111",10/2023
ALTO PARNAÍBA-MA                                  ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2024,Setembro,1050,"275,0","0,2619",09/2024
ANAPURUS-MA                                       ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2023,Julho,277,"83,6","0,3018",07/2023
ANAPURUS-MA                                       ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2023,Agosto,277,"93,0","0,3357",08/2023
ANAPURUS-MA                                       ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2024,Setembro,277,"75,0","0,2708",09/2024
ARAÇATUBA-SP                                      ,SP        ,HERVAL D'OESTE-SC                                 ,SC        ,2016,Fevereiro,951,"137,74","0,1448",02/2016
ARAÇATUBA-SP                                      ,SP        ,CAMPOS NOVOS-SC                                   ,SC        ,2016,Fevereiro,1003,"147,98","0,1475",02/2016
ARAÇATUBA-SP                                      ,SP        ,BRASÍLIA-DF                                       ,DF        ,2017,Outubro,895,"176,22","0,1969",10/2017
ARAL MOREIRA-MS                                   ,MS        ,MARAVILHA-SC                                      ,SC        ,2021,Maio,689,"94,0","0,1364",05/2021
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2021,Maio,992,"144,96","0,1461",05/2021
ARAL MOREIRA-MS                                   ,MS        ,SANTA HELENA-PR                                   ,PR        ,2021,Maio,361,"62,73","0,1738",05/2021
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2021,Maio,510,"84,54","0,123",05/2021
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2021,Junho,510,"83,99","0,123",06/2021
ARAL MOREIRA-MS                                   ,MS        ,SANTA HELENA-PR                                   ,PR        ,2021,Junho,361,"62,73","0,1738",06/2021
ARAL MOREIRA-MS                                   ,MS        ,MARAVILHA-SC                                      ,SC        ,2021,Junho,689,"94,0","0,1364",06/2021
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2021,Junho,992,"135,0","0,1361",06/2021
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2021,Julho,992,"139,75","0,1409",07/2021
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2021,Julho,510,"77,67","0,1523",07/2021
ARAL MOREIRA-MS                                   ,MS        ,SANTA HELENA-PR                                   ,PR        ,2021,Agosto,361,"67,83","0,1879",08/2021
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2021,Agosto,510,"80,0","0,1569",08/2021
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2021,Agosto,992,"138,0","0,1391",08/2021
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2021,Setembro,510,"80,0","0,1569",09/2021
ARAL MOREIRA-MS                                   ,MS        ,SANTA HELENA-PR                                   ,PR        ,2021,Setembro,361,"80,17","0,2221",09/2021
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2021,Setembro,992,"123,0","0,124",09/2021
ARAL MOREIRA-MS                                   ,MS        ,SANTA HELENA-PR                                   ,PR        ,2021,Outubro,361,"78,0","0,2161",10/2021
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2021,Outubro,992,"135,0","0,1361",10/2021
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2021,Outubro,510,"76,0","0,149",10/2021
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2021,Dezembro,510,"91,58","0,1796",12/2021
ARAL MOREIRA-MS                                   ,MS        ,SANTA HELENA-PR                                   ,PR        ,2021,Dezembro,361,"84,0","0,2327",12/2021
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2021,Dezembro,992,"155,0","0,1563",12/2021
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2022,Janeiro,992,"145,63","0,1468",01/2022
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2022,Janeiro,510,"95,44","0,1871",01/2022
ARAL MOREIRA-MS                                   ,MS        ,SANTA HELENA-PR                                   ,PR        ,2022,Janeiro,361,"90,78","0,2515",01/2022
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2022,Fevereiro,992,"185,59","0,1871",02/2022
ARAL MOREIRA-MS                                   ,MS        ,SANTA HELENA-PR                                   ,PR        ,2022,Fevereiro,361,"94,0","0,2604",02/2022
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2022,Fevereiro,510,"95,25","0,1868",02/2022
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2022,Março,992,"197,0","0,1986",03/2022
ARAL MOREIRA-MS                                   ,MS        ,SANTA HELENA-PR                                   ,PR        ,2022,Março,361,"102,5","0,2839",03/2022
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2022,Março,510,"101,5","0,199",03/2022
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2022,Abril,992,"177,83","0,1793",04/2022
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2022,Abril,510,"98,83","0,1938",04/2022
ARAL MOREIRA-MS                                   ,MS        ,SANTA HELENA-PR                                   ,PR        ,2022,Abril,361,"96,0","0,2659",04/2022
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2022,Maio,510,"115,0","0,2255",05/2022
ARAL MOREIRA-MS                                   ,MS        ,SANTA HELENA-PR                                   ,PR        ,2022,Maio,361,"82,17","0,2276",05/2022
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2022,Maio,992,"168,47","0,1698",05/2022
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2022,Junho,992,"203,67","0,2053",06/2022
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2022,Junho,510,"105,0","0,2059",06/2022
ARAL MOREIRA-MS                                   ,MS        ,SANTA HELENA-PR                                   ,PR        ,2022,Junho,361,"100,0","0,277",06/2022
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2022,Julho,992,"262,0","0,2641",07/2022
ARAL MOREIRA-MS                                   ,MS        ,SANTA HELENA-PR                                   ,PR        ,2022,Julho,361,"135,17","0,3744",07/2022
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2022,Julho,510,"151,0","0,2961",07/2022
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2022,Agosto,510,"149,0","0,2922",08/2022
ARAL MOREIRA-MS                                   ,MS        ,SANTA HELENA-PR                                   ,PR        ,2022,Agosto,361,"81,0","0,2244",08/2022
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2022,Agosto,992,"253,57","0,2556",08/2022
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2022,Setembro,510,"110,0","0,2157",09/2022
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2022,Setembro,992,"218,0","0,2198",09/2022
ARAL MOREIRA-MS                                   ,MS        ,SANTA HELENA-PR                                   ,PR        ,2022,Setembro,361,"84,56","0,2342",09/2022
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2022,Outubro,992,"166,5","0,1678",10/2022
ARAL MOREIRA-MS                                   ,MS        ,SANTA HELENA-PR                                   ,PR        ,2022,Outubro,361,"99,0","0,2742",10/2022
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2022,Outubro,510,"106,67","0,2092",10/2022
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2022,Novembro,992,"188,67","0,1902",11/2022
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2022,Novembro,510,"118,0","0,2314",11/2022
ARAL MOREIRA-MS                                   ,MS        ,SANTA HELENA-PR                                   ,PR        ,2022,Novembro,361,"118,0","0,3269",11/2022
ARAL MOREIRA-MS                                   ,MS        ,SANTA HELENA-PR                                   ,PR        ,2022,Dezembro,361,"115,0","0,3186",12/2022
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2022,Dezembro,510,"118,0","0,2314",12/2022
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2022,Dezembro,992,"189,5","0,191",12/2022
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2023,Janeiro,992,"238,33","0,2403",01/2023
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2023,Janeiro,510,"122,67","0,2405",01/2023
ARAL MOREIRA-MS                                   ,MS        ,SANTA HELENA-PR                                   ,PR        ,2023,Janeiro,361,"115,0","0,3186",01/2023
ARAL MOREIRA-MS                                   ,MS        ,SANTA HELENA-PR                                   ,PR        ,2023,Fevereiro,361,"115,0","0,3186",02/2023
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2023,Fevereiro,510,"137,5","0,2696",02/2023
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2023,Fevereiro,992,"282,0","0,2843",02/2023
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2023,Março,510,"133,33","0,2614",03/2023
ARAL MOREIRA-MS                                   ,MS        ,SANTA HELENA-PR                                   ,PR        ,2023,Março,361,"125,0","0,3463",03/2023
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2023,Março,992,"285,0","0,2873",03/2023
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2023,Abril,992,"190,0","0,1915",04/2023
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2023,Abril,510,"122,67","0,2405",04/2023
ARAL MOREIRA-MS                                   ,MS        ,SANTA HELENA-PR                                   ,PR        ,2023,Abril,361,"120,0","0,3324",04/2023
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2023,Maio,510,"122,67","0,2405",05/2023
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2023,Maio,992,"260,0","0,2621",05/2023
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2023,Junho,510,"120,0","0,2353",06/2023
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2023,Junho,992,"214,0","0,2155",06/2023
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2023,Julho,992,"237,0","0,2388",07/2023
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2023,Julho,510,"121,0","0,2379",07/2023
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2023,Agosto,992,"271,0","0,2734",08/2023
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2023,Agosto,510,"135,0","0,2647",08/2023
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2023,Setembro,992,"269,0","0,2709",09/2023
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2023,Setembro,510,"129,0","0,2523",09/2023
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2023,Outubro,992,"234,0","0,2359",10/2023
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2023,Outubro,510,"123,0","0,242",10/2023
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2023,Novembro,510,"122,0","0,24",11/2023
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2023,Novembro,992,"234,0","0,2359",11/2023
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2023,Dezembro,510,"121,0","0,2377",12/2023
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2023,Dezembro,992,"234,0","0,2359",12/2023
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2024,Janeiro,992,"195,0","0,1966",01/2024
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2024,Janeiro,510,"133,0","0,2608",01/2024
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2024,Fevereiro,510,"116,0","0,2275",02/2024
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2024,Fevereiro,992,"225,0","0,2268",02/2024
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2024,Março,510,"99,0","0,1941",03/2024
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2024,Março,992,"154,0","0,1552",03/2024
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2024,Abril,510,"94,0","0,1833",04/2024
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2024,Abril,992,"160,0","0,1613",04/2024
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2024,Maio,510,"103,0","0,202",05/2024
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2024,Maio,992,"170,0","0,1714",05/2024
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2024,Junho,510,"103,0","0,2026",06/2024
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2024,Junho,992,"215,0","0,2167",06/2024
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2024,Julho,510,"105,0","0,2049",07/2024
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2024,Julho,992,"226,0","0,2278",07/2024
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2024,Agosto,992,"201,0","0,2024",08/2024
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2024,Agosto,510,"102,0","0,2",08/2024
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2024,Setembro,510,"95,0","0,1863",09/2024
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2024,Setembro,992,"200,0","0,2016",09/2024
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2024,Outubro,992,"180,0","0,1815",10/2024
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2024,Outubro,510,"90,0","0,1765",10/2024
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2024,Novembro,992,"180,0","0,1815",11/2024
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2024,Novembro,510,"87,0","0,1706",11/2024
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2024,Dezembro,992,"168,0","0,1694",12/2024
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2024,Dezembro,510,"87,0","0,1706",12/2024
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,TERESINA-PI                                       ,PI        ,2022,Julho,589,"180,0","0,3056",07/2022
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,SÃO LUÍS-MA                                       ,MA        ,2022,Julho,810,"288,25","0,3559",07/2022
