municipio_origem,municipio_destino,ano,mes,uf_origem,uf_destino,soma_frete_tonelada,soma_tonelada_km,repeticoes,media_frete_tonelada,media_tonelada_km,distancia_km,data_padronizada
ACREÚNA,BRASÍLIA,2014,Maio,GO        ,DF        ,"57,87","0,1436",1,"57,87","0,1436","403,0",05/2014
ACREÚNA,ITAPURANGA,2014,Maio,GO        ,GO        ,"57,32","0,1825",1,"57,32","0,1825","314,0",05/2014
ACREÚNA,PALMEIRAS DE GOIÁS,2014,Maio,GO        ,GO        ,"29,26","0,2501",1,"29,26","0,2501","117,0",05/2014
ACREÚNA,SANTA HELENA DE GOIÁS,2014,Maio,GO        ,GO        ,"23,63","0,358",1,"23,63","0,358","66,0",05/2014
ALPINÓPOLIS,GUARUJÁ,2024,Novembro,MG        ,SP        ,"146,0","0,3153",1,"146,0","0,3153","463,0",11/2024
ALPINÓPOLIS,GUARUJÁ,2024,Outubro,MG        ,SP        ,"146,0","0,3153",1,"146,0","0,3153","463,0",10/2024
ALPINÓPOLIS,GUARUJÁ,2024,Setembro,MG        ,SP        ,"146,0","0,3153",1,"146,0","0,3153","463,0",09/2024
ALTO PARNAÍBA,SÃO LUÍS,2023,Abril,MA        ,MA        ,"290,0","0,2805",1,"290,0","0,2805","1034,0",04/2023
ALTO PARNAÍBA,SÃO LUÍS,2023,Agosto,MA        ,MA        ,"316,61","0,3015",1,"316,61","0,3015","1050,0",08/2023
ALTO PARNAÍBA,SÃO LUÍS,2023,Julho,MA        ,MA        ,"275,0","0,2619",1,"275,0","0,2619","1050,0",07/2023
ALTO PARNAÍBA,SÃO LUÍS,2023,Junho,MA        ,MA        ,"275,09","0,266",1,"275,09","0,266","1034,0",06/2023
ALTO PARNAÍBA,SÃO LUÍS,2023,Maio,MA        ,MA        ,"82,0","0,0793",1,"82,0","0,0793","1034,0",05/2023
ALTO PARNAÍBA,SÃO LUÍS,2023,Março,MA        ,MA        ,"290,0","0,2805",1,"290,0","0,2805","1034,0",03/2023
ALTO PARNAÍBA,SÃO LUÍS,2023,Outubro,MA        ,MA        ,"326,66","0,3111",1,"326,66","0,3111","1050,0",10/2023
ALTO PARNAÍBA,SÃO LUÍS,2023,Setembro,MA        ,MA        ,"325,12","0,3096",1,"325,12","0,3096","1050,0",09/2023
ALTO PARNAÍBA,SÃO LUÍS,2024,Setembro,MA        ,MA        ,"275,0","0,2619",1,"275,0","0,2619","1050,0",09/2024
ANAPURUS,SÃO LUÍS,2023,Agosto,MA        ,MA        ,"93,0","0,3357",1,"93,0","0,3357","277,0",08/2023
ANAPURUS,SÃO LUÍS,2023,Julho,MA        ,MA        ,"83,6","0,3018",1,"83,6","0,3018","277,0",07/2023
ANAPURUS,SÃO LUÍS,2024,Setembro,MA        ,MA        ,"75,0","0,2708",1,"75,0","0,2708","277,0",09/2024
ARAL MOREIRA,MARAVILHA,2021,Junho,MS        ,SC        ,"94,0","0,1364",1,"94,0","0,1364","689,0",06/2021
ARAL MOREIRA,MARAVILHA,2021,Maio,MS        ,SC        ,"94,0","0,1364",1,"94,0","0,1364","689,0",05/2021
ARAL MOREIRA,MARINGÁ,2021,Agosto,MS        ,PR        ,"80,0","0,1569",1,"80,0","0,1569","510,0",08/2021
ARAL MOREIRA,MARINGÁ,2021,Dezembro,MS        ,PR        ,"91,58","0,1796",1,"91,58","0,1796","510,0",12/2021
ARAL MOREIRA,MARINGÁ,2021,Julho,MS        ,PR        ,"77,67","0,1523",1,"77,67","0,1523","510,0",07/2021
ARAL MOREIRA,MARINGÁ,2021,Junho,MS        ,PR        ,"83,99","0,123",1,"83,99","0,123","510,0",06/2021
ARAL MOREIRA,MARINGÁ,2021,Maio,MS        ,PR        ,"84,54","0,123",1,"84,54","0,123","510,0",05/2021
ARAL MOREIRA,MARINGÁ,2021,Outubro,MS        ,PR        ,"76,0","0,149",1,"76,0","0,149","510,0",10/2021
ARAL MOREIRA,MARINGÁ,2021,Setembro,MS        ,PR        ,"80,0","0,1569",1,"80,0","0,1569","510,0",09/2021
ARAL MOREIRA,MARINGÁ,2022,Abril,MS        ,PR        ,"98,83","0,1938",1,"98,83","0,1938","510,0",04/2022
ARAL MOREIRA,MARINGÁ,2022,Agosto,MS        ,PR        ,"149,0","0,2922",1,"149,0","0,2922","510,0",08/2022
ARAL MOREIRA,MARINGÁ,2022,Dezembro,MS        ,PR        ,"118,0","0,2314",1,"118,0","0,2314","510,0",12/2022
ARAL MOREIRA,MARINGÁ,2022,Fevereiro,MS        ,PR        ,"95,25","0,1868",1,"95,25","0,1868","510,0",02/2022
ARAL MOREIRA,MARINGÁ,2022,Janeiro,MS        ,PR        ,"95,44","0,1871",1,"95,44","0,1871","510,0",01/2022
ARAL MOREIRA,MARINGÁ,2022,Julho,MS        ,PR        ,"151,0","0,2961",1,"151,0","0,2961","510,0",07/2022
ARAL MOREIRA,MARINGÁ,2022,Junho,MS        ,PR        ,"105,0","0,2059",1,"105,0","0,2059","510,0",06/2022
ARAL MOREIRA,MARINGÁ,2022,Maio,MS        ,PR        ,"115,0","0,2255",1,"115,0","0,2255","510,0",05/2022
ARAL MOREIRA,MARINGÁ,2022,Março,MS        ,PR        ,"101,5","0,199",1,"101,5","0,199","510,0",03/2022
ARAL MOREIRA,MARINGÁ,2022,Novembro,MS        ,PR        ,"118,0","0,2314",1,"118,0","0,2314","510,0",11/2022
ARAL MOREIRA,MARINGÁ,2022,Outubro,MS        ,PR        ,"106,67","0,2092",1,"106,67","0,2092","510,0",10/2022
ARAL MOREIRA,MARINGÁ,2022,Setembro,MS        ,PR        ,"110,0","0,2157",1,"110,0","0,2157","510,0",09/2022
ARAL MOREIRA,MARINGÁ,2023,Abril,MS        ,PR        ,"122,67","0,2405",1,"122,67","0,2405","510,0",04/2023
ARAL MOREIRA,MARINGÁ,2023,Agosto,MS        ,PR        ,"135,0","0,2647",1,"135,0","0,2647","510,0",08/2023
ARAL MOREIRA,MARINGÁ,2023,Dezembro,MS        ,PR        ,"121,0","0,2377",1,"121,0","0,2377","510,0",12/2023
ARAL MOREIRA,MARINGÁ,2023,Fevereiro,MS        ,PR        ,"137,5","0,2696",1,"137,5","0,2696","510,0",02/2023
ARAL MOREIRA,MARINGÁ,2023,Janeiro,MS        ,PR        ,"122,67","0,2405",1,"122,67","0,2405","510,0",01/2023
ARAL MOREIRA,MARINGÁ,2023,Julho,MS        ,PR        ,"121,0","0,2379",1,"121,0","0,2379","510,0",07/2023
ARAL MOREIRA,MARINGÁ,2023,Junho,MS        ,PR        ,"120,0","0,2353",1,"120,0","0,2353","510,0",06/2023
ARAL MOREIRA,MARINGÁ,2023,Maio,MS        ,PR        ,"122,67","0,2405",1,"122,67","0,2405","510,0",05/2023
ARAL MOREIRA,MARINGÁ,2023,Março,MS        ,PR        ,"133,33","0,2614",1,"133,33","0,2614","510,0",03/2023
ARAL MOREIRA,MARINGÁ,2023,Novembro,MS        ,PR        ,"122,0","0,24",1,"122,0","0,24","510,0",11/2023
ARAL MOREIRA,MARINGÁ,2023,Outubro,MS        ,PR        ,"123,0","0,242",1,"123,0","0,242","510,0",10/2023
ARAL MOREIRA,MARINGÁ,2023,Setembro,MS        ,PR        ,"129,0","0,2523",1,"129,0","0,2523","510,0",09/2023
ARAL MOREIRA,MARINGÁ,2024,Abril,MS        ,PR        ,"94,0","0,1833",1,"94,0","0,1833","510,0",04/2024
ARAL MOREIRA,MARINGÁ,2024,Agosto,MS        ,PR        ,"102,0","0,2",1,"102,0","0,2","510,0",08/2024
ARAL MOREIRA,MARINGÁ,2024,Dezembro,MS        ,PR        ,"87,0","0,1706",1,"87,0","0,1706","510,0",12/2024
ARAL MOREIRA,MARINGÁ,2024,Fevereiro,MS        ,PR        ,"116,0","0,2275",1,"116,0","0,2275","510,0",02/2024
ARAL MOREIRA,MARINGÁ,2024,Janeiro,MS        ,PR        ,"133,0","0,2608",1,"133,0","0,2608","510,0",01/2024
ARAL MOREIRA,MARINGÁ,2024,Julho,MS        ,PR        ,"105,0","0,2049",1,"105,0","0,2049","510,0",07/2024
ARAL MOREIRA,MARINGÁ,2024,Junho,MS        ,PR        ,"103,0","0,2026",1,"103,0","0,2026","510,0",06/2024
ARAL MOREIRA,MARINGÁ,2024,Maio,MS        ,PR        ,"103,0","0,202",1,"103,0","0,202","510,0",05/2024
ARAL MOREIRA,MARINGÁ,2024,Março,MS        ,PR        ,"99,0","0,1941",1,"99,0","0,1941","510,0",03/2024
ARAL MOREIRA,MARINGÁ,2024,Novembro,MS        ,PR        ,"87,0","0,1706",1,"87,0","0,1706","510,0",11/2024
ARAL MOREIRA,MARINGÁ,2024,Outubro,MS        ,PR        ,"90,0","0,1765",1,"90,0","0,1765","510,0",10/2024
ARAL MOREIRA,MARINGÁ,2024,Setembro,MS        ,PR        ,"95,0","0,1863",1,"95,0","0,1863","510,0",09/2024
ARAL MOREIRA,PARANAGUÁ,2021,Agosto,MS        ,PR        ,"138,0","0,1391",1,"138,0","0,1391","992,0",08/2021
ARAL MOREIRA,PARANAGUÁ,2021,Dezembro,MS        ,PR        ,"155,0","0,1563",1,"155,0","0,1563","992,0",12/2021
ARAL MOREIRA,PARANAGUÁ,2021,Julho,MS        ,PR        ,"139,75","0,1409",1,"139,75","0,1409","992,0",07/2021
ARAL MOREIRA,PARANAGUÁ,2021,Junho,MS        ,PR        ,"135,0","0,1361",1,"135,0","0,1361","992,0",06/2021
ARAL MOREIRA,PARANAGUÁ,2021,Maio,MS        ,PR        ,"144,96","0,1461",1,"144,96","0,1461","992,0",05/2021
ARAL MOREIRA,PARANAGUÁ,2021,Outubro,MS        ,PR        ,"135,0","0,1361",1,"135,0","0,1361","992,0",10/2021
ARAL MOREIRA,PARANAGUÁ,2021,Setembro,MS        ,PR        ,"123,0","0,124",1,"123,0","0,124","992,0",09/2021
ARAL MOREIRA,PARANAGUÁ,2022,Abril,MS        ,PR        ,"177,83","0,1793",1,"177,83","0,1793","992,0",04/2022
ARAL MOREIRA,PARANAGUÁ,2022,Agosto,MS        ,PR        ,"253,57","0,2556",1,"253,57","0,2556","992,0",08/2022
ARAL MOREIRA,PARANAGUÁ,2022,Dezembro,MS        ,PR        ,"189,5","0,191",1,"189,5","0,191","992,0",12/2022
ARAL MOREIRA,PARANAGUÁ,2022,Fevereiro,MS        ,PR        ,"185,59","0,1871",1,"185,59","0,1871","992,0",02/2022
ARAL MOREIRA,PARANAGUÁ,2022,Janeiro,MS        ,PR        ,"145,63","0,1468",1,"145,63","0,1468","992,0",01/2022
