dsc_fonte,municipio_origem,cod_ibge_origem,uf_origem,municipio_destino,cod_ibge_destino,uf_destino,ano,mes,distancia_km,valor_frete_tonelada,valor_tonelada_km,data_padronizada,local
PESQUISA                        ,AÇAILÂNDIA-MA                                     ,2100055,MA        ,SÃO LUÍS-MA                                       ,2111300,MA        ,2023,2,597,"160,0","0,268",02/2023,MA        
PESQUISA                        ,AÇAILÂNDIA-MA                                     ,2100055,MA        ,SÃO LUÍS-MA                                       ,2111300,MA        ,2023,3,597,"170,0","0,2848",03/2023,MA        
PESQUISA                        ,AÇAILÂNDIA-MA                                     ,2100055,MA        ,SÃO LUÍS-MA                                       ,2111300,MA        ,2023,4,597,"170,0","0,2848",04/2023,MA        
PESQUISA                        ,AÇAILÂNDIA-MA                                     ,2100055,MA        ,SÃO LUÍS-MA                                       ,2111300,MA        ,2023,5,597,"160,0","0,268",05/2023,MA        
PESQUISA                        ,AÇAILÂNDIA-MA                                     ,2100055,MA        ,SÃO LUÍS-MA                                       ,2111300,MA        ,2023,6,597,"150,59","0,2522",06/2023,MA        
PESQUISA                        ,AÇAILÂNDIA-MA                                     ,2100055,MA        ,SÃO LUÍS-MA                                       ,2111300,MA        ,2023,7,565,"166,8","0,2952",07/2023,MA        
PESQUISA                        ,AÇAILÂNDIA-MA                                     ,2100055,MA        ,PORTO FRANCO-MA                                   ,2109007,MA        ,2023,7,167,"65,0","0,3892",07/2023,MA        
PESQUISA                        ,AÇAILÂNDIA-MA                                     ,2100055,MA        ,SÃO LUÍS-MA                                       ,2111300,MA        ,2023,8,565,"164,5","0,2912",08/2023,MA        
PESQUISA                        ,AÇAILÂNDIA-MA                                     ,2100055,MA        ,SÃO LUÍS-MA                                       ,2111300,MA        ,2023,9,565,"160,0","0,2832",09/2023,MA        
CONTRATO                        ,ACREÚNA-GO                                        ,5200134,GO        ,ITAPURANGA-GO                                     ,5211206,GO        ,2014,5,314,"57,32","0,1825",05/2014,GO        
CONTRATO                        ,ACREÚNA-GO                                        ,5200134,GO        ,BRASÍLIA-DF                                       ,5300108,DF        ,2014,5,403,"57,87","0,1436",05/2014,DF        
CONTRATO                        ,ACREÚNA-GO                                        ,5200134,GO        ,SANTA HELENA DE GOIÁS-GO                          ,5219308,GO        ,2014,5,66,"23,63","0,358",05/2014,GO        
CONTRATO                        ,ACREÚNA-GO                                        ,5200134,GO        ,PALMEIRAS DE GOIÁS-GO                             ,5215702,GO        ,2014,5,117,"29,26","0,2501",05/2014,GO        
PESQUISA                        ,ALPINÓPOLIS-MG                                    ,3101904,MG        ,GUARUJÁ-SP                                        ,3518701,SP        ,2024,9,463,"146,0","0,3153",09/2024,SP        
PESQUISA                        ,ALPINÓPOLIS-MG                                    ,3101904,MG        ,GUARUJÁ-SP                                        ,3518701,SP        ,2024,10,463,"146,0","0,3153",10/2024,SP        
PESQUISA                        ,ALPINÓPOLIS-MG                                    ,3101904,MG        ,GUARUJÁ-SP                                        ,3518701,SP        ,2024,11,463,"146,0","0,3153",11/2024,SP        
PESQUISA                        ,ALTO PARNAÍBA-MA                                  ,2100501,MA        ,SÃO LUÍS-MA                                       ,2111300,MA        ,2023,3,1034,"290,0","0,2805",03/2023,MA        
PESQUISA                        ,ALTO PARNAÍBA-MA                                  ,2100501,MA        ,SÃO LUÍS-MA                                       ,2111300,MA        ,2023,4,1034,"290,0","0,2805",04/2023,MA        
PESQUISA                        ,ALTO PARNAÍBA-MA                                  ,2100501,MA        ,SÃO LUÍS-MA                                       ,2111300,MA        ,2023,5,1034,"82,0","0,0793",05/2023,MA        
